Date,Open,High,Low,Close,Volume,Amount
2019-07-22,11.7,15.21,7.69,12.27,9236244.09,9762393.837
2019-07-23,9.88,10.98,9.61,10.01,4111585.17,4234132.942
2019-07-24,10.09,10.26,9.9,10.2,3112329.79,3139970.856
2019-07-25,10.14,10.9,10.1,10.61,3519934.81,3726893.993
2019-07-26,10.39,10.44,9.96,10.01,2319527.6,2354692.96
2019-07-29,10.1,10.42,10.05,10.28,1984193.3,2037957.478
2019-07-30,10.23,10.34,10.1,10.23,1809155.89,1852742.681
2019-07-31,10.23,10.53,10.19,10.33,2039082.74,2113686.162
2019-08-01,10.18,10.64,10.13,10.58,2888843.67,3002194.277
2019-08-02,10.35,12.68,10.32,12.12,6029303.07,7015715.63
2019-08-05,12.12,12.6,11.64,12.56,4054349.93,4990728.831
2019-08-06,12.38,13.77,11.55,12.03,5528915.84,7108867.991
2019-08-07,12.3,12.47,11.33,11.83,3350318.91,3971673.723
2019-08-08,11.73,11.87,11.18,11.22,2228794.02,2551001.312
2019-08-09,11.33,11.42,10.9,10.96,1923720.48,2140067.3
2019-08-12,11.0,11.0,10.34,10.55,1802686.48,1906778.502
2019-08-13,10.51,10.82,10.46,10.75,1372804.54,1465853.622
2019-08-14,10.89,10.92,10.64,10.67,1241962.1,1337242.101
2019-08-15,10.39,10.65,10.33,10.58,1075844.36,1127869.276
2019-08-16,10.58,10.74,10.56,10.57,875413.36,930584.898
2019-08-19,10.6,10.63,10.38,10.61,1158916.58,1218957.286
2019-08-20,10.62,10.66,10.51,10.53,795220.76,840097.603
2019-08-21,10.52,10.59,10.06,10.15,1494925.46,1536467.428
2019-08-22,10.16,10.24,9.98,10.11,757593.64,766237.033
2019-08-23,10.13,10.17,9.7,9.77,1307772.7,1298828.283
2019-08-26,9.66,9.98,9.62,9.82,756135.02,743411.933
2019-08-27,9.88,9.94,9.77,9.9,649524.98,641173.616
2019-08-28,9.9,9.92,9.77,9.8,554216.88,545647.053
2019-08-29,9.8,9.81,9.57,9.62,809290.17,780406.65
2019-08-30,9.66,9.69,9.47,9.48,732684.62,700274.431
2019-09-02,9.52,9.63,9.48,9.58,529555.57,506138.699
2019-09-03,9.59,10.27,9.56,10.09,1643103.16,1643097.239
2019-09-04,10.02,10.16,9.91,9.95,814011.29,813026.514
2019-09-05,9.99,10.18,9.92,10.03,985913.05,991150.559
2019-09-06,10.0,10.06,9.88,9.92,630908.91,627988.309
2019-09-09,9.98,10.01,9.92,9.95,499333.27,496583.229
2019-09-10,9.97,10.13,9.93,9.99,649753.53,651370.453
2019-09-11,9.98,10.0,9.86,9.88,609731.84,604959.145
2019-09-12,9.9,9.92,9.65,9.67,735024.47,714039.187
2019-09-16,9.69,9.78,9.66,9.68,341545.5,331375.258
2019-09-17,9.69,9.71,9.41,9.42,576840.77,549522.54
2019-09-18,9.47,9.49,9.21,9.25,552031.32,513285.058
2019-09-19,9.26,9.54,9.13,9.38,571797.9,536846.312
2019-09-20,9.49,9.57,9.41,9.46,470332.95,445978.311
2019-09-23,9.42,9.47,9.22,9.27,363010.03,337919.723
2019-09-24,9.26,9.51,9.25,9.42,488910.05,460315.015
2019-09-25,9.41,9.47,9.22,9.23,358779.91,333202.484
2019-09-26,9.23,9.27,8.75,8.75,734662.74,654555.456
2019-09-27,8.71,8.9,8.71,8.81,310720.45,273904.721
2019-09-30,8.81,8.81,8.46,8.46,419017.25,358925.227
2019-10-08,8.48,8.51,8.3,8.3,303870.58,254254.26
2019-10-09,8.28,8.4,8.23,8.35,226912.8,188837.162
2019-10-10,8.38,8.45,8.33,8.43,260842.75,219362.507
2019-10-11,8.46,8.46,8.35,8.37,224268.32,188095.601
2019-10-14,8.42,8.54,8.39,8.48,322894.3,273377.282
2019-10-15,8.47,8.47,8.34,8.35,209841.7,176192.642
2019-10-16,8.37,8.41,8.18,8.19,344264.69,284839.823
2019-10-17,8.19,8.24,8.09,8.1,319818.97,260942.544
2019-10-18,8.1,8.34,8.06,8.13,460211.42,377934.782
2019-10-21,8.13,8.14,7.81,7.9,411772.0,325470.537
2019-10-22,7.92,7.95,7.84,7.91,205947.42,162422.501
2019-10-23,7.9,8.3,7.85,8.22,654578.28,531116.755
2019-10-24,8.13,8.24,8.08,8.09,351551.94,286599.089
2019-10-25,8.06,8.11,7.95,8.0,249289.28,199471.163
2019-10-28,8.01,8.15,7.98,8.1,303660.77,245045.659
2019-10-29,8.15,8.15,7.91,7.92,312494.01,250745.294
2019-10-30,7.92,7.97,7.8,7.81,260320.31,204546.908
2019-10-31,7.82,7.83,7.6,7.61,368780.7,283273.363
2019-11-01,7.63,7.69,7.58,7.64,189465.1,144784.547
2019-11-04,7.7,7.78,7.67,7.68,210513.09,162842.086
2019-11-05,7.71,7.71,7.53,7.59,273912.26,207788.125
2019-11-06,7.57,7.66,7.53,7.55,208435.63,157970.856
2019-11-07,7.56,7.6,7.5,7.56,251772.36,190068.009
2019-11-08,7.58,7.6,7.51,7.51,220808.13,166923.225
2019-11-11,7.49,7.49,7.1,7.12,418239.12,301737.937
2019-11-12,7.14,7.16,6.93,6.99,270518.71,190032.7
2019-11-13,6.99,7.06,6.92,6.99,259668.27,181306.348
2019-11-14,6.98,7.0,6.82,6.96,325841.24,225757.745
2019-11-15,6.92,6.94,6.7,6.7,384237.08,261782.362
2019-11-18,6.71,6.71,6.57,6.58,305858.24,202397.054
2019-11-19,6.56,6.65,6.55,6.65,228282.58,151273.326
2019-11-20,6.66,6.66,6.55,6.56,233319.51,153623.898
2019-11-21,6.57,6.57,6.4,6.42,305676.84,197400.625
2019-11-22,6.43,6.54,6.41,6.45,280886.59,181773.156
2019-11-25,6.47,6.47,6.38,6.44,170909.0,109865.266
2019-11-26,6.46,6.53,6.43,6.45,229226.2,148481.262
2019-11-27,6.44,6.47,6.38,6.42,150472.06,96704.003
2019-11-28,6.43,6.5,6.4,6.43,213631.78,137888.914
2019-11-29,6.44,6.48,6.4,6.46,155087.89,99769.524
2019-12-02,6.46,6.48,6.39,6.4,179802.55,115604.526
2019-12-03,6.37,6.38,6.25,6.28,251381.98,158234.219
2019-12-04,6.26,6.32,6.24,6.28,160829.26,101045.022
2019-12-05,6.28,6.3,6.25,6.29,198916.41,124909.167
2019-12-06,6.29,6.37,6.28,6.34,204455.94,129485.065
2019-12-09,6.37,6.78,6.34,6.69,704530.87,461784.093
2019-12-10,6.6,7.29,6.6,7.05,1275579.95,894617.113
2019-12-11,7.01,7.19,6.86,6.86,576964.92,402513.959
2019-12-12,6.87,6.96,6.82,6.84,325952.24,224906.778
2019-12-13,6.92,6.95,6.75,6.84,338496.88,230788.286
2019-12-16,6.86,6.94,6.86,6.91,273726.26,188641.485
2019-12-17,6.92,7.07,6.88,7.05,507506.23,356452.846
2019-12-18,7.05,7.44,7.05,7.22,719791.94,523506.156
2019-12-19,7.25,7.25,7.07,7.13,354923.53,253174.809
2019-12-20,7.15,7.2,7.04,7.04,232633.03,165487.004
2019-12-23,7.04,7.04,6.78,6.78,349075.88,240560.718
2019-12-24,6.79,6.91,6.79,6.89,186537.05,128031.021
2019-12-25,6.89,7.04,6.86,6.95,255837.31,178116.464
2019-12-26,6.95,7.0,6.91,6.97,168870.46,117254.924
2019-12-27,6.98,7.04,6.91,6.91,258789.33,180507.252
2019-12-30,6.87,6.88,6.76,6.86,241948.77,165316.535
2019-12-31,6.88,6.94,6.86,6.92,182168.64,125710.174
2020-01-02,6.98,7.07,6.96,7.05,402758.05,282922.479
2020-01-03,7.08,7.08,7.02,7.04,263510.14,185679.95
2020-01-06,7.02,7.07,6.95,7.01,316505.44,222183.085
2020-01-07,7.0,7.13,7.0,7.13,386693.71,273170.907
2020-01-08,7.1,7.2,7.05,7.09,487018.12,346447.736
2020-01-09,7.15,7.26,7.12,7.24,538137.86,388005.226
2020-01-10,7.28,7.3,7.15,7.18,321462.45,231649.378
2020-01-13,7.18,7.18,7.08,7.17,262894.24,187138.197
2020-01-14,7.18,7.28,7.13,7.23,436528.04,315291.814
2020-01-15,7.19,7.24,7.1,7.11,276598.19,197485.29
2020-01-16,7.12,7.18,7.06,7.14,330964.86,235762.574
2020-01-17,7.14,7.6,7.13,7.52,1388452.02,1031425.081
2020-01-20,7.44,7.74,7.27,7.6,962059.33,718798.116
2020-01-21,7.5,7.68,7.34,7.34,662331.7,494021.231
2020-01-22,7.2,7.2,6.88,7.1,1094371.83,769192.272
2020-01-23,7.01,7.08,6.7,6.76,660546.26,454892.117
2020-02-03,5.66,5.94,5.41,5.42,1349096.68,746283.369
2020-02-04,5.51,5.89,5.51,5.83,904270.43,519734.008
2020-02-05,5.88,6.32,5.85,6.11,908064.01,554083.672
2020-02-06,6.12,6.35,6.0,6.23,818913.58,508772.442
2020-02-07,6.19,6.27,6.07,6.22,721566.39,444955.088
2020-02-10,6.22,6.99,6.17,6.99,1494944.06,992474.349
2020-02-11,7.0,7.0,6.61,6.68,973393.01,656976.431
2020-02-12,6.61,6.95,6.6,6.85,720892.05,490268.758
2020-02-13,6.89,7.17,6.83,6.91,1100370.3,773699.991
2020-02-14,6.85,6.91,6.65,6.78,740190.25,503335.149
2020-02-17,6.8,7.05,6.78,7.01,724552.05,503305.741
2020-02-18,7.0,7.13,6.97,7.09,700340.5,493225.74
2020-02-19,7.09,7.12,6.93,7.0,714731.04,501904.951
2020-02-20,6.98,7.05,6.88,7.01,626508.63,436426.68
2020-02-21,7.02,7.03,6.95,6.96,535303.56,373804.705
2020-02-24,6.92,6.94,6.76,6.81,640625.89,437264.933
2020-02-25,6.63,6.77,6.51,6.68,658074.84,436865.591
2020-02-26,6.6,7.05,6.56,6.82,1076154.16,737878.655
2020-02-27,6.79,6.93,6.7,6.71,524534.59,356681.516
2020-02-28,6.57,6.64,6.24,6.25,734430.96,472075.227
2020-03-02,6.29,7.02,6.29,6.94,1297853.72,881140.754
2020-03-03,7.07,7.12,6.9,6.96,1080743.69,755257.562
2020-03-04,6.9,7.02,6.85,6.97,576358.68,399582.079
2020-03-05,7.08,7.34,7.03,7.22,1225396.33,884457.365
2020-03-06,7.1,7.16,7.01,7.04,682183.18,482724.232
2020-03-09,6.9,7.24,6.88,6.99,895177.25,632957.962
2020-03-10,6.87,7.14,6.75,7.11,864397.93,602407.855
2020-03-11,7.11,7.48,7.08,7.17,1491121.94,1089560.041
2020-03-12,7.01,7.17,6.92,6.98,743474.76,523050.151
2020-03-13,6.69,6.96,6.61,6.85,629862.97,428265.795
2020-03-16,6.96,7.04,6.62,6.62,555537.73,379823.918
2020-03-17,6.71,6.79,6.3,6.64,515810.1,337908.885
2020-03-18,6.71,6.84,6.46,6.48,513389.99,343740.432
2020-03-19,6.48,6.54,6.26,6.41,501009.43,320454.036
2020-03-20,6.52,6.56,6.36,6.47,342411.39,221205.066
2020-03-23,6.31,6.35,6.1,6.1,463375.78,288236.109
2020-03-24,6.23,6.27,6.08,6.23,312232.94,193300.495
2020-03-25,6.39,6.49,6.35,6.46,468195.12,301319.567
2020-03-26,6.43,6.43,6.32,6.35,252490.53,160972.759
2020-03-27,6.42,6.6,6.39,6.46,588079.24,383036.403
2020-03-30,6.39,6.45,6.28,6.29,314167.2,199150.469
2020-03-31,6.38,6.39,6.27,6.29,221523.8,140134.957
2020-04-01,6.28,6.37,6.24,6.28,198579.3,125186.571
2020-04-02,6.26,6.39,6.22,6.39,238601.53,150477.718
2020-04-03,6.36,6.39,6.25,6.29,205273.22,129617.539
2020-04-07,6.4,6.44,6.37,6.43,296024.93,189763.57
2020-04-08,6.4,6.43,6.38,6.4,173278.11,110952.733
2020-04-09,6.44,6.45,6.38,6.38,184485.64,118138.518
2020-04-10,6.4,6.43,6.27,6.31,242414.1,153717.917
2020-04-13,6.33,6.33,6.21,6.23,132079.22,82476.998
2020-04-14,6.24,6.31,6.24,6.3,125851.56,79032.691
2020-04-15,6.31,6.33,6.25,6.28,142953.68,89992.948
2020-04-16,6.28,6.31,6.23,6.28,118875.04,74550.518
2020-04-17,6.3,6.48,6.27,6.39,453528.62,289670.331
2020-04-20,6.4,6.48,6.37,6.41,218209.38,139925.205
2020-04-21,6.38,6.39,6.26,6.29,231185.34,145787.932
2020-04-22,6.27,6.32,6.25,6.3,169784.8,106729.893
2020-04-23,6.3,6.32,6.25,6.26,225458.72,141465.843
2020-04-24,6.25,6.26,6.13,6.17,289006.03,178470.217
2020-04-27,6.14,6.19,6.13,6.14,131722.78,81129.114
2020-04-28,6.15,6.17,5.72,5.98,308599.66,183675.103
2020-04-29,5.98,6.07,5.95,6.0,136071.04,81764.654
2020-04-30,6.03,6.2,6.02,6.16,265224.33,162582.137
2020-05-06,6.1,6.44,6.08,6.43,551470.43,348747.744
2020-05-07,6.4,6.44,6.28,6.29,339211.15,214818.069
2020-05-08,6.31,6.4,6.3,6.34,276801.7,175406.163
2020-05-11,6.34,6.36,6.27,6.29,195062.57,123130.673
2020-05-12,6.3,6.31,6.2,6.25,171043.73,106647.036
2020-05-13,6.21,6.27,6.2,6.23,124691.89,77686.104
2020-05-14,6.2,6.3,6.17,6.18,173406.51,107959.84
2020-05-15,6.25,6.26,6.19,6.21,130478.27,81176.456
2020-05-18,6.22,6.25,6.17,6.17,159221.56,98788.086
2020-05-19,6.2,6.25,6.2,6.23,144407.08,89833.208
2020-05-20,6.25,6.38,6.19,6.29,328905.84,207340.423
2020-05-21,6.3,6.3,6.18,6.19,220308.94,137296.325
2020-05-22,6.18,6.22,6.03,6.06,237622.27,144843.208
2020-05-25,6.03,6.08,5.99,6.02,139036.38,83744.619
2020-05-26,6.01,6.16,6.01,6.14,217916.1,133114.737
2020-05-27,6.15,6.16,6.03,6.04,186517.41,113343.404
2020-05-28,6.06,6.09,6.0,6.04,153426.41,92652.755
2020-05-29,6.05,6.08,6.03,6.05,129101.49,78089.917
2020-06-01,6.09,6.25,6.08,6.21,323996.61,200237.853
2020-06-02,6.21,6.26,6.16,6.21,245772.48,152531.405
2020-06-03,6.23,6.28,6.19,6.2,199994.68,124568.033
2020-06-04,6.2,6.28,6.18,6.24,253737.77,157999.086
2020-06-05,6.23,6.24,6.18,6.22,163335.8,101433.532
2020-06-08,6.23,6.27,6.19,6.22,161569.46,100529.485
2020-06-09,6.21,6.22,6.18,6.19,135463.63,83854.522
2020-06-10,6.18,6.19,6.12,6.13,148497.84,91287.468
2020-06-11,6.12,6.21,6.11,6.17,177486.63,109523.574
2020-06-12,6.06,6.15,6.05,6.11,144905.85,88442.476
2020-06-15,6.11,6.15,6.06,6.06,153011.86,93231.071
2020-06-16,6.09,6.13,6.08,6.11,136735.65,83474.737
2020-06-17,6.13,6.13,6.07,6.09,146332.11,89163.129
2020-06-18,6.09,6.13,6.07,6.1,155082.96,94762.054
2020-06-19,6.11,6.13,6.1,6.12,166980.68,102153.536
2020-06-22,6.22,6.42,6.22,6.29,619908.56,392891.946
2020-06-23,6.3,6.35,6.25,6.27,236184.78,148537.609
2020-06-24,6.28,6.47,6.27,6.42,600856.32,383903.442
2020-06-29,6.4,6.55,6.34,6.35,510413.34,328414.015
2020-06-30,6.4,6.44,6.35,6.41,296516.24,189389.104
2020-07-01,6.41,6.42,6.34,6.41,281815.7,179837.918
2020-07-02,6.4,6.55,6.38,6.53,440383.29,285490.999
2020-07-03,6.39,6.45,6.33,6.37,509966.6,325111.737
2020-07-06,6.41,7.27,6.41,7.18,1552442.28,1078952.919
2020-07-07,7.27,7.37,7.09,7.15,1282404.57,926070.854
2020-07-08,7.11,7.22,7.01,7.17,751224.48,535755.699
2020-07-09,7.13,7.71,7.08,7.47,1268794.69,935582.061
2020-07-10,7.42,7.48,7.18,7.21,770440.29,564353.408
2020-07-13,7.24,7.56,7.13,7.42,888777.43,653829.9
2020-07-14,7.5,7.79,7.39,7.5,1150014.88,870588.531
2020-07-15,7.47,7.59,7.1,7.12,868801.84,631468.7
2020-07-16,7.13,7.16,6.66,6.7,800922.05,551797.268
2020-07-17,6.7,6.8,6.57,6.63,382266.42,254716.608
2020-07-20,6.69,6.86,6.6,6.81,491266.0,331421.622
2020-07-21,6.84,7.06,6.78,6.8,574844.19,397404.447
2020-07-22,6.44,6.73,6.41,6.66,1098545.44,723832.925
2020-07-23,6.6,6.66,6.48,6.56,500610.78,328381.429
2020-07-24,6.46,6.53,6.01,6.1,1195717.39,753038.527
2020-07-27,6.14,6.18,6.08,6.14,289226.67,177203.002
2020-07-28,6.17,6.25,6.16,6.21,260389.14,161570.722
2020-07-29,6.19,6.34,6.15,6.33,368069.73,231134.395
2020-07-30,6.31,6.38,6.26,6.26,305727.26,192624.573
2020-07-31,6.28,6.38,6.24,6.31,334214.1,210669.69
2020-08-03,6.33,6.55,6.31,6.5,582413.41,375840.497
2020-08-04,6.52,6.54,6.4,6.42,386089.95,248696.086
2020-08-05,6.48,6.48,6.4,6.44,279690.78,180019.68
2020-08-06,6.42,6.44,6.31,6.38,330669.12,210525.399
2020-08-07,6.36,6.37,6.18,6.23,430537.72,269149.065
2020-08-10,6.24,6.4,6.22,6.33,441787.92,279305.275
2020-08-11,6.33,6.34,6.18,6.19,428614.11,268369.508
2020-08-12,6.18,6.21,6.1,6.15,404784.91,248601.585
2020-08-13,6.19,6.25,6.18,6.19,287133.39,178213.898
2020-08-14,6.24,6.24,6.16,6.22,260848.65,161778.831
2020-08-17,6.23,6.32,6.2,6.29,443878.93,278519.469
2020-08-18,6.3,6.32,6.27,6.28,309110.09,194484.549
2020-08-19,6.26,6.38,6.25,6.25,428641.04,270398.608
2020-08-20,6.21,6.24,6.16,6.17,295616.48,183014.263
2020-08-21,6.2,6.24,6.18,6.23,285669.16,177658.283
2020-08-24,6.24,6.25,6.18,6.2,209617.21,130071.249
2020-08-25,6.2,6.23,6.17,6.19,219540.98,135916.742
2020-08-26,6.19,6.2,6.09,6.12,306167.31,187846.254
2020-08-27,6.1,6.23,6.08,6.19,275039.87,169247.525
2020-08-28,6.17,6.21,6.14,6.2,194841.75,120360.855
2020-08-31,6.19,6.26,6.16,6.17,304979.37,189501.358
2020-09-01,6.17,6.18,6.14,6.17,161869.18,99702.843
2020-09-02,6.17,6.18,6.11,6.14,203714.79,125119.725
2020-09-03,6.13,6.17,6.1,6.12,209473.26,128376.81
2020-09-04,6.08,6.11,6.04,6.08,218061.13,132495.811
2020-09-07,6.08,6.11,6.03,6.04,266361.16,161534.768
2020-09-08,6.04,6.16,6.02,6.14,289490.88,176951.363
2020-09-09,6.09,6.45,6.07,6.32,1083076.93,685787.126
2020-09-10,6.35,6.38,6.08,6.1,474856.59,295162.898
2020-09-11,6.09,6.16,6.08,6.11,225881.58,138101.061
2020-09-14,6.23,6.33,6.21,6.29,398499.93,250049.533
2020-09-15,6.3,6.34,6.24,6.32,309715.52,195111.416
2020-09-16,6.32,6.32,6.22,6.27,203752.78,127587.051
2020-09-17,6.26,6.5,6.2,6.42,861451.48,551263.051
2020-09-18,6.42,6.48,6.35,6.44,563770.62,361239.23
2020-09-21,6.48,6.51,6.39,6.44,341178.71,219373.519
2020-09-22,6.39,6.41,6.3,6.33,354979.15,225374.91
2020-09-23,6.36,6.59,6.36,6.48,825266.81,537535.789
2020-09-24,6.43,6.54,6.4,6.43,515764.49,333239.706
2020-09-25,6.43,6.45,6.26,6.29,371665.57,235293.589
2020-09-28,6.32,6.33,6.21,6.25,227560.52,142573.513
2020-09-29,6.25,6.37,6.25,6.32,260953.45,165069.438
2020-09-30,6.34,6.35,6.26,6.28,217172.83,136849.521
2020-10-09,6.35,6.44,6.31,6.38,338517.56,216381.653
2020-10-12,6.4,6.47,6.37,6.45,463862.2,298195.242
2020-10-13,6.43,6.44,6.36,6.39,318028.65,203220.595
2020-10-14,6.38,6.39,6.26,6.27,317366.63,200234.417
2020-10-15,6.28,6.31,6.24,6.25,201742.14,126395.735
2020-10-16,6.24,6.29,6.21,6.25,180304.01,112439.81
2020-10-19,6.25,6.3,6.22,6.22,195544.43,122260.231
2020-10-20,6.25,6.28,6.21,6.26,161619.11,100888.738
2020-10-21,6.25,6.26,6.16,6.18,227324.59,140747.257
2020-10-22,6.18,6.18,6.13,6.14,168640.55,103738.768
2020-10-23,6.15,6.2,6.11,6.12,182250.64,112010.348
2020-10-26,6.14,6.18,6.1,6.15,139270.8,85583.689
2020-10-27,6.13,6.17,6.11,6.17,115682.86,71169.164
2020-10-28,6.15,6.18,6.11,6.16,135326.16,83148.783
2020-10-29,6.12,6.14,6.07,6.12,164039.56,100220.085
2020-10-30,6.12,6.15,6.02,6.02,301453.31,183512.999
2020-11-02,6.04,6.05,5.92,5.94,282194.21,168495.506
2020-11-03,5.93,6.06,5.92,6.06,183304.41,110435.694
2020-11-04,6.07,6.09,6.01,6.06,118509.73,71681.471
2020-11-05,6.08,6.14,6.07,6.11,172186.36,105182.703
2020-11-06,6.11,6.13,6.08,6.11,127309.58,77691.459
