Date,Open,High,Low,Close,Volume,Amount
2023-07-05,45.0,50.0,42.9,42.93,239468.81,1090900.169
2023-07-06,39.31,45.6,38.97,44.12,198342.43,823588.994
2023-07-07,42.5,43.22,38.58,38.62,153829.17,633384.452
2023-07-10,36.83,40.58,35.63,39.73,146023.55,553985.196
2023-07-11,40.5,44.27,39.8,40.68,191333.33,799815.871
2023-07-12,38.5,38.88,36.22,36.67,162777.38,603815.614
2023-07-13,35.76,36.15,34.5,35.22,115382.54,405999.316
2023-07-14,35.06,36.85,35.05,36.38,106196.87,382736.012
2023-07-17,36.38,38.0,36.0,36.7,111212.57,411562.825
2023-07-18,36.0,37.86,34.58,37.42,112451.82,408399.124
2023-07-19,37.0,38.74,35.63,37.61,111546.11,415525.891
2023-07-20,37.71,38.64,35.66,36.54,111131.46,411397.242
2023-07-21,36.0,36.52,34.77,34.79,69919.61,247697.638
2023-07-24,33.98,35.49,33.0,35.14,56881.67,196951.345
2023-07-25,35.07,35.6,34.64,35.15,52639.7,185199.458
2023-07-26,34.9,35.2,33.75,33.97,50810.53,174830.487
2023-07-27,33.68,34.45,33.01,33.12,41174.5,138334.511
2023-07-28,33.0,33.37,32.55,32.86,40127.05,131841.99
2023-07-31,32.75,33.2,32.62,33.1,31636.73,104239.08
2023-08-01,33.59,34.32,32.36,34.09,80290.42,268934.011
2023-08-02,33.5,34.27,33.14,34.11,52002.77,175242.402
2023-08-03,33.6,34.23,33.22,33.24,45238.72,152021.775
2023-08-04,33.0,35.18,33.0,35.02,87384.98,300163.124
2023-08-07,35.0,36.9,34.58,36.18,105301.64,377331.962
2023-08-08,35.5,38.46,35.21,36.32,127445.61,469459.851
2023-08-09,35.63,37.65,35.43,36.13,86310.25,313145.335
2023-08-10,35.6,37.95,35.16,37.58,108974.77,404409.706
2023-08-11,37.98,38.78,35.8,36.08,98135.8,365526.604
2023-08-14,35.02,43.3,35.01,43.3,137460.09,557628.65
2023-08-15,48.0,51.96,45.05,46.38,262978.9,1295291.657
2023-08-16,47.3,49.0,44.99,48.0,204687.98,964120.193
2023-08-17,46.08,47.77,43.88,44.86,157908.92,721300.393
2023-08-18,43.59,47.49,41.85,43.76,163186.39,725197.325
2023-08-21,44.1,47.32,44.1,44.51,152691.51,696988.195
2023-08-22,44.52,48.33,42.8,47.58,182113.86,828417.887
2023-08-23,45.3,45.3,39.4,39.85,155697.47,650870.515
2023-08-24,40.0,42.22,38.0,38.0,113646.48,457372.806
2023-08-25,37.13,38.22,33.8,34.29,102890.45,368970.299
2023-08-28,36.6,36.9,34.21,34.24,82080.53,291717.184
2023-08-29,34.3,37.75,34.18,37.7,104778.59,382037.334
2023-08-30,37.58,38.7,36.71,38.38,82346.74,312207.078
2023-08-31,37.7,38.7,37.09,38.15,61172.95,232274.539
2023-09-01,38.1,38.62,36.9,37.18,55820.29,210250.98
2023-09-04,37.46,37.46,36.05,36.7,47844.33,174707.531
2023-09-05,36.59,36.89,35.89,36.1,37849.46,137270.377
2023-09-06,35.83,36.9,35.35,36.8,45375.8,164804.773
2023-09-07,36.79,36.79,35.23,35.24,35414.97,126872.622
2023-09-08,35.15,36.0,34.81,35.8,25242.91,89783.221
2023-09-11,36.0,36.87,35.08,36.12,43176.0,154864.943
2023-09-12,36.05,37.44,35.61,37.17,60457.63,221761.29
2023-09-13,36.5,36.7,34.75,35.4,56115.25,199144.87
2023-09-14,35.12,35.86,35.0,35.42,31491.99,111800.967
2023-09-15,35.2,35.3,34.24,34.25,31903.91,110454.267
2023-09-18,33.86,34.9,33.63,34.59,19218.38,66331.249
2023-09-19,34.43,34.58,33.69,33.88,17787.54,60553.245
2023-09-20,35.0,36.66,34.83,34.93,68915.56,245970.436
2023-09-21,34.04,35.25,33.78,34.45,40670.59,140320.612
2023-09-22,34.14,36.63,34.07,36.51,66918.6,241131.325
2023-09-25,36.21,36.54,35.68,35.78,37694.97,135732.491
2023-09-26,35.98,36.3,35.45,35.92,37253.16,133358.353
2023-09-27,35.4,36.1,34.6,34.7,45084.47,158986.047
2023-09-28,35.12,36.15,35.02,35.4,34649.6,122887.346
2023-10-09,35.53,37.46,35.4,36.48,63392.09,229726.769
2023-10-10,36.8,36.87,35.78,35.98,42832.86,154879.088
2023-10-11,35.78,36.14,34.71,35.98,38072.57,135733.354
2023-10-12,35.75,35.96,34.97,35.19,32670.0,115053.804
2023-10-13,34.79,35.05,33.9,34.12,31470.0,108203.428
2023-10-16,34.12,34.2,33.06,33.41,26190.12,87747.822
2023-10-17,33.93,34.69,33.5,33.91,35626.22,121466.762
2023-10-18,33.6,33.61,31.38,32.22,40399.77,129773.095
2023-10-19,31.66,32.98,31.56,32.2,23578.0,76652.901
2023-10-20,32.17,33.18,31.49,31.56,23895.0,76793.122
2023-10-23,31.18,31.37,29.98,30.06,23544.08,71933.308
2023-10-24,30.2,31.38,30.01,31.3,22392.16,69362.585
2023-10-25,31.58,33.09,31.28,32.93,38910.62,125728.316
2023-10-26,32.3,33.65,32.2,33.13,31970.97,105385.68
2023-10-27,32.62,33.5,32.18,33.16,29575.56,97031.464
2023-10-30,32.78,33.75,32.5,33.58,23552.53,78739.487
2023-10-31,33.41,33.83,32.59,32.82,21617.39,71381.691
2023-11-01,32.82,33.34,32.42,32.59,14339.92,47067.98
2023-11-02,32.48,33.18,31.85,31.89,16226.99,52216.667
2023-11-03,32.03,32.79,32.03,32.59,17830.31,58019.515
2023-11-06,33.31,33.46,32.89,33.35,22793.0,75758.638
2023-11-07,33.1,40.02,33.03,40.02,142993.89,531957.784
2023-11-08,39.0,39.09,37.57,38.18,148327.52,567986.138
2023-11-09,38.02,39.6,37.61,38.2,102487.41,393853.631
2023-11-10,37.15,37.69,36.39,36.55,69083.8,255061.14
2023-11-13,36.69,37.0,36.42,36.91,43821.37,161094.012
2023-11-14,36.9,37.43,36.58,37.42,54184.57,200769.5
2023-11-15,37.62,37.79,36.78,36.92,44408.12,164588.017
2023-11-16,36.56,37.17,36.45,36.51,32145.48,118354.098
2023-11-17,36.25,36.83,35.88,36.39,33390.04,121277.549
2023-11-20,36.5,37.58,36.12,37.51,57179.84,212049.635
2023-11-21,37.39,37.69,36.29,36.5,43237.74,159143.959
2023-11-22,36.61,36.75,35.6,35.6,30096.23,108286.084
2023-11-23,35.62,36.18,34.75,36.14,29050.13,103339.261
2023-11-24,35.96,35.99,34.5,34.54,34542.5,120608.022
2023-11-27,34.5,35.24,34.4,35.06,19362.49,67497.739
2023-11-28,34.96,35.6,34.62,35.14,20150.58,70744.391
2023-11-29,34.85,35.61,34.84,35.23,21296.0,75156.519
2023-11-30,35.08,36.95,35.07,36.95,72766.21,264004.506
2023-12-01,36.89,36.89,35.6,36.0,46502.06,167514.533
