Date,Open,High,Low,Close,Volume,Amount,TurnoverRate
2025-06-20,50.0,50.0,41.82,42.12,356446.63,1611611.552,0.783179
2025-06-23,40.0,46.9,39.2,45.0,272482.01,1193232.394,0.598693
2025-06-24,45.5,58.77,45.0,48.51,329188.6,1662915.425,0.723288
2025-06-25,46.0,71.88,45.89,56.36,343729.5,1803400.872,0.755237
2025-06-26,52.5,53.12,46.81,46.99,274138.28,1368289.889,0.602333
2025-06-27,48.0,55.0,48.0,53.57,266027.74,1361979.16,0.584512
2025-06-30,54.61,63.87,54.61,59.2,264632.39,1581859.374,0.581446
2025-07-01,61.0,63.5,58.18,58.21,228670.16,1375364.261,0.502431
2025-07-02,57.02,61.6,54.8,55.05,214172.07,1237340.993,0.470576
2025-07-03,56.0,57.73,53.08,53.95,181935.18,995424.569,0.399745
2025-07-04,53.94,54.07,51.0,51.7,136065.22,704202.29,0.298961
2025-07-07,51.17,52.48,51.17,51.69,91210.79,472765.094,0.200407
2025-07-08,51.53,55.0,50.84,54.34,164230.25,878499.415,0.360844
2025-07-09,53.63,53.63,50.95,51.05,139990.55,727741.703,0.307585
2025-07-10,50.33,51.52,49.4,49.57,99272.23,498521.77,0.218119
2025-07-11,49.19,50.49,48.64,49.97,82747.12,410600.225,0.181811
2025-07-14,49.75,50.53,49.55,50.12,54328.66,272082.952,0.1193699999999999
2025-07-15,49.8,50.38,48.85,49.63,64949.59,322022.178,0.142706
2025-07-16,49.55,53.98,49.37,53.68,163683.43,849015.47,0.359643
2025-07-17,54.2,56.75,53.56,53.56,163140.24,893933.788,0.358449
2025-07-18,54.02,54.27,52.58,53.15,93909.67,499042.263,0.206337
2025-07-21,52.75,58.2,52.75,57.0,156706.88,881091.838,0.3443139999999999
2025-07-22,56.0,57.19,55.15,55.55,112805.37,630324.488,0.247854
2025-07-23,55.01,57.2,54.7,55.47,112232.06,625253.272,0.246595
2025-07-24,55.3,56.9,55.3,55.96,99966.45,560024.288,0.219645
2025-07-25,55.5,58.55,55.18,57.92,139488.33,797262.34,0.306482
2025-07-28,57.0,66.44,56.38,63.2,191804.64,1158026.982,0.42143
2025-07-29,62.0,66.66,61.92,65.35,165575.17,1072505.695,0.363799
2025-07-30,65.06,65.8,63.1,65.0,131833.94,850944.031,0.289664
2025-07-31,65.0,69.87,63.25,67.02,171501.67,1133372.558,0.3768209999999999
2025-08-01,66.59,80.42,66.59,76.65,231049.56,1744814.266,0.507659
2025-08-04,76.68,81.97,75.7,78.99,174809.56,1367842.283,0.384089
2025-08-05,77.56,93.88,77.0,91.81,218113.26,1817496.239,0.4792349999999999
2025-08-06,88.88,92.48,85.0,85.3,195214.54,1710875.915,0.428923
2025-08-07,85.93,98.5,85.93,94.92,200955.62,1859086.234,0.441537
2025-08-08,92.08,93.8,88.01,93.65,145696.84,1317551.096,0.320123
2025-08-11,92.65,92.72,85.12,87.73,135027.16,1192501.816,0.29668
2025-08-12,86.5,95.62,86.5,88.69,140821.05,1285258.445,0.3094099999999999
2025-08-13,86.52,90.55,85.01,88.26,121385.07,1057965.303,0.266706
2025-08-14,87.98,87.98,82.0,82.1,140460.55,1184748.727,0.308618
2025-08-15,81.78,84.98,81.78,84.5,95393.32,800137.339,0.209597
2025-08-18,84.0,89.53,83.38,86.42,130070.42,1120172.125,0.285789
2025-08-19,84.84,87.8,83.6,84.05,93689.05,798032.5,0.205852
2025-08-20,83.22,90.6,82.27,88.5,146001.1,1271243.19,0.320791
2025-08-21,89.0,89.99,84.3,84.94,102163.12,881042.279,0.2244709999999999
2025-08-22,84.0,88.58,83.61,86.36,104931.85,909548.563,0.2305549999999999
2025-08-25,87.1,102.99,86.65,100.69,179301.33,1712646.088,0.393958
2025-08-26,99.2,105.0,98.0,102.65,136364.65,1376161.947,0.299618
2025-08-27,102.65,102.65,95.01,95.7,130966.96,1281984.944,0.287759
2025-08-28,94.17,96.88,91.02,96.14,105107.06,989948.977,0.23094
2025-08-29,94.7,94.8,89.7,89.99,89821.95,820817.026,0.1973549999999999
2025-09-01,90.5,93.8,90.5,90.95,66264.27,607694.649,0.145595
2025-09-02,90.2,90.23,83.98,84.8,89117.38,769179.158,0.195807
2025-09-03,85.0,88.08,83.88,86.21,71027.96,612494.724,0.156062
2025-09-04,86.95,87.2,78.0,78.61,84383.07,687668.631,0.185405
2025-09-05,77.8,80.47,76.1,80.02,58099.73,458487.635,0.127656
2025-09-08,78.82,80.8,78.67,79.9,47373.07,377909.077,0.104087
2025-09-09,79.11,79.9,77.66,78.55,37861.25,297801.349,0.083188
2025-09-10,81.29,91.88,81.29,89.7,137701.07,1174891.795,0.302555
2025-09-11,89.04,94.5,88.86,90.86,122095.7,1110965.672,0.268267
2025-09-12,90.0,93.3,88.46,92.48,94224.01,863127.949,0.207028
2025-09-15,92.5,92.98,88.01,89.62,66212.74,595531.382,0.145482
2025-09-16,88.35,88.43,85.78,86.93,72941.68,633530.894,0.160266
2025-09-17,86.0,87.8,85.31,86.61,47352.86,409611.969,0.104043
2025-09-18,85.71,88.0,82.73,84.42,75769.58,651739.588,0.16648
2025-09-19,83.71,87.8,83.71,83.97,51848.16,444067.506,0.11392
2025-09-22,83.18,86.66,83.07,86.09,44908.43,382976.814,0.098672
2025-09-23,85.31,88.22,83.09,88.2,64622.15,552935.047,0.141987
2025-09-24,87.0,89.17,85.48,88.04,64616.55,564876.237,0.141975
2025-09-25,88.48,88.5,85.0,85.22,50060.21,432410.458,0.109992
2025-09-26,84.37,86.25,83.5,83.9,31742.77,269340.299,0.069745
2025-09-29,83.53,84.21,80.7,83.14,33198.76,274198.778,0.072944
2025-09-30,83.34,84.82,81.82,82.0,34678.88,288138.47,0.076196
2025-10-09,83.0,84.95,82.5,83.7,39976.53,335050.565,0.087836
2025-10-10,82.99,82.99,78.58,78.69,45512.24,363575.469,0.099999
2025-10-13,74.21,78.0,74.0,77.88,28898.58,221835.926,0.063496
2025-10-14,84.0,84.4,79.66,80.2,62634.33,516489.583,0.137619
2025-10-15,80.2,81.38,77.1,78.22,40229.97,316143.717,0.088393
2025-10-16,78.0,79.61,76.75,77.9,28739.57,224428.6,0.063146
2025-10-17,77.69,80.78,76.3,76.71,35435.28,278969.817,0.077858
2025-10-20,78.0,78.52,75.18,77.76,33056.11,254343.215,0.07263
2025-10-21,77.14,80.15,76.52,79.17,36396.83,285334.323,0.079971
2025-10-22,78.5,79.8,77.6,78.05,26932.36,211751.417,0.059175
2025-10-23,77.07,77.93,75.0,76.41,30303.48,229549.9,0.066582
2025-10-24,76.5,77.88,76.26,76.79,26948.83,208008.955,0.059212
2025-10-27,76.85,79.54,76.35,76.8,43703.39,339844.802,0.096024
2025-10-28,76.04,76.18,74.6,74.76,37379.69,281264.931,0.08213
2025-10-29,73.74,74.0,71.3,73.28,51835.05,376548.97,0.1138909999999999
2025-10-30,72.69,72.73,70.35,70.77,39788.92,281586186.84,0.087424
2025-10-31,70.61,72.05,70.38,71.28,24486.94,174542908.32,0.053802
2025-11-03,71.2,71.77,70.3,71.6,19060.76,136475041.59999996,0.04188
2025-11-04,71.34,71.34,69.71,70.32,22270.34,156605030.87999997,0.048932
2025-11-05,69.32,70.53,68.99,69.97,17824.19,124715857.43,0.039163
2025-11-06,70.4,71.59,70.4,71.0,22590.96,160395816.0,0.049637
2025-11-07,70.02,70.92,69.38,69.38,19433.91,134832467.57999998,0.0426999999999999
2025-11-10,68.92,70.97,68.88,69.69,23532.67,163999177.23,0.051706
2025-11-11,69.59,73.78,69.56,72.37,59745.95,432381440.15,0.131273
2025-11-12,72.0,72.43,69.41,70.47,32770.23,230415020.0,0.072002
2025-11-13,70.11,71.33,69.62,71.07,26449.98,186213376.0,0.058116
