Date,Open,High,Low,Close,Volume,Amount
2020-03-20,132.0,142.0,115.33,117.01,117847.62,1478806.597
2020-03-23,111.88,124.5,105.0,108.1,73310.91,834616.481
2020-03-24,116.01,119.83,99.98,111.36,70159.14,774448.215
2020-03-25,114.88,114.95,104.01,107.14,56321.22,610102.972
2020-03-26,100.99,103.98,95.56,95.95,58603.38,580770.296
2020-03-27,95.9,96.7,88.8,89.25,53538.18,492793.34
2020-03-30,85.97,89.77,83.19,87.16,38485.14,332277.824
2020-03-31,88.5,89.0,82.85,83.18,38785.0,331659.341
2020-04-01,82.56,85.56,81.81,82.39,30805.12,257207.327
2020-04-02,82.28,93.8,82.28,91.97,56145.37,496517.356
2020-04-03,89.3,90.7,86.7,87.12,40748.47,358968.613
2020-04-07,90.25,93.6,89.38,89.77,38191.25,348821.479
2020-04-08,88.0,91.76,87.7,89.22,26355.25,235825.735
2020-04-09,90.03,92.8,89.9,91.98,28164.79,257319.385
2020-04-10,93.0,94.73,87.21,89.01,36635.68,334672.552
2020-04-13,87.3,87.59,85.02,85.55,19941.74,171165.115
2020-04-14,86.37,88.68,86.1,88.61,19059.77,166111.196
2020-04-15,90.95,97.0,90.95,93.65,45569.44,429057.221
2020-04-16,93.0,94.98,92.04,94.76,23744.66,222771.418
2020-04-17,94.79,97.6,93.3,93.84,25430.5,242138.863
2020-04-20,93.84,94.68,91.66,93.82,15097.77,140646.215
2020-04-21,95.1,98.2,95.0,96.89,21842.83,211051.851
2020-04-22,95.98,97.28,95.28,97.21,16153.57,155615.207
2020-04-23,97.65,99.49,94.3,96.95,23531.37,227295.008
2020-04-24,96.27,101.0,94.51,99.0,25577.33,250968.192
2020-04-27,99.05,104.77,98.21,102.96,22020.53,224432.324
2020-04-28,102.5,103.44,93.6,99.31,28283.68,280632.046
2020-04-29,98.3,106.87,98.3,106.8,25416.64,264759.559
2020-04-30,104.0,110.6,103.0,106.8,35396.28,379092.65
2020-05-06,106.8,117.5,105.51,115.05,32457.08,361857.422
2020-05-07,114.5,117.98,110.51,110.81,24412.1,275862.369
2020-05-08,113.55,115.98,110.88,111.5,21034.34,238044.692
2020-05-11,111.6,112.33,106.3,107.88,24474.93,266732.567
2020-05-12,108.0,109.18,103.6,107.84,20959.7,222952.22
2020-05-13,106.0,107.63,104.5,106.79,17319.42,184007.304
2020-05-14,106.0,110.2,105.18,106.0,19014.59,205300.43
2020-05-15,106.8,108.48,104.86,106.56,14731.26,157365.078
2020-05-18,107.07,107.88,99.8,99.89,27134.51,279022.334
2020-05-19,101.5,102.0,99.2,101.61,17458.48,176027.277
2020-05-20,101.5,104.5,99.87,101.4,18732.01,190999.742
2020-05-21,101.22,102.5,95.52,96.21,20564.11,202183.631
2020-05-22,96.0,96.89,92.32,93.3,15105.53,142359.586
2020-05-25,93.1,95.96,91.88,95.5,14398.1,135457.041
2020-05-26,95.02,97.88,95.02,97.81,12088.17,117064.989
2020-05-27,97.71,97.71,94.93,96.2,13444.41,129092.787
2020-05-28,95.02,96.49,92.51,95.3,11190.1,105271.359
2020-05-29,95.6,99.58,95.1,97.9,14962.03,146971.362
2020-06-01,99.05,104.32,99.0,102.82,17300.43,176680.76
2020-06-02,102.1,110.99,102.1,106.23,25095.42,268107.857
2020-06-03,106.0,107.15,103.71,105.1,15696.64,164939.755
2020-06-04,105.3,108.4,103.8,108.19,14900.37,158246.401
2020-06-05,107.5,109.45,105.77,107.24,11354.8,121701.467
2020-06-08,108.0,110.7,107.28,108.79,14439.18,157204.049
2020-06-09,108.76,108.79,104.68,104.85,14293.34,151363.67
2020-06-10,104.83,112.57,104.46,108.43,14477.37,157459.547
2020-06-11,107.95,108.9,105.84,106.19,11061.05,118639.913
2020-06-12,102.85,105.85,102.66,105.2,9709.11,101452.258
